Predicted,Actual,Diff
71036.05812934363,13330,-57706.058129343626
57823.07287810443,156386,98562.92712189557
66406.56220202238,46288,-20118.562202022382
48930.98284584252,-13400,-62330.98284584252
201743.63723179194,286750,85006.36276820806
91248.36365626167,375300,284051.6363437383
-13509.431954006943,3400,16909.43195400694
141689.50549508195,178818,37128.49450491805
-18622.624342453182,0,18622.624342453182
110526.78533695881,41347,-69179.78533695881
125836.68571390386,60572,-65264.68571390386
195293.8404922757,245870,50576.15950772431
229502.00209250118,172900,-56602.00209250118
55539.86069116699,45780,-9759.860691166992
203213.99159702554,426119,222905.00840297446
99917.46339897459,53375,-46542.46339897459
138811.85277911447,104240,-34571.85277911447
-7329.439795352415,3570,10899.439795352415
196941.96350376186,352075,155133.03649623814
89928.6432920563,133000,43071.356707943705
134935.7688835029,54100,-80835.7688835029
125146.43347667748,223821,98674.56652332252
203428.0815783075,142300,-61128.081578307494
84452.76648844745,15850,-68602.76648844745
70978.69680199832,6900,-64078.69680199832
68811.76005012957,45010,-23801.760050129567
18796.213449768835,-2158,-20954.213449768835
148141.12881680016,39500,-108641.12881680016
61369.38306365571,6560,-54809.38306365571
13863.210226584422,11450,-2413.2102265844223
44847.30369719933,36800,-8047.303697199328
93010.12177549955,96474,3463.878224500455
41527.55529997317,25185,-16342.555299973174
59844.3863790499,59500,-344.38637904990173
109212.42250806717,73200,-36012.422508067175
144808.56145879845,179100,34291.438541201554
-21328.179908137357,1266,22594.179908137357
148141.12881680016,46250,-101891.12881680016
8103.120922730148,12747,4643.879077269852
195775.00420902664,117065,-78710.00420902664
96891.46842411076,33700,-63191.46842411076
57255.80490895604,90617,33361.19509104396
61.613086236688105,-375,-436.6130862366881
141119.77366818773,30537,-110582.77366818773
43319.791957035064,86595,43275.208042964936
75324.71480117348,61999,-13325.714801173483
145920.86880922105,103500,-42420.86880922105
59742.75648549448,84600,24857.24351450552
26027.117292033025,4349,-21678.117292033025
93744.12531666934,30910,-62834.125316669335
70972.36665258952,46870,-24102.366652589524
196465.256446253,99599,-96866.25644625301
36749.69913430461,39298,2548.30086569539
37293.46114044127,34600,-2693.4611404412717
14338.673810515033,15000,661.3261894849675
84991.38986686138,134000,49008.610133138616
101019.84055072465,121870,20850.15944927535
149979.6887123474,185600,35620.311287652614
200250.87776454265,86782,-113468.87776454265
235774.57498732928,403705,167930.42501267072
86446.14512666716,57436,-29010.145126667165
94362.27526799966,69800,-24562.275267999663
86134.9341965412,89043,2908.0658034587977
116922.34249986487,385548,268625.65750013513
842.175387420215,-6943,-7785.175387420215
39582.78299900802,23593,-15989.78299900802
41823.244190873454,52229,10405.755809126546
169769.21386906313,229000,59230.786130936875
-4971.747879640703,217,5188.747879640703
63907.5526616002,10806,-53101.5526616002
55875.5512821857,46500,-9375.551282185697
203213.99159702554,380400,177186.00840297446
76505.00514222904,198998,122492.99485777096
237757.939616911,105000,-132757.939616911
214687.7713503665,615234,400546.2286496335
61111.1219917932,89530,28418.878008206797
155472.0346975153,56175,-99297.03469751531
235774.57498732928,427825,192050.42501267072
38117.451732232534,70650,32532.548267767466
53111.90778613105,43975,-9136.90778613105
111355.62094769099,55500,-55855.620947690986
39119.39425724002,154700,115580.60574275997
64908.882278236895,30983,-33925.882278236895
48431.562433380284,36228,-12203.562433380284
102960.13614701589,51775,-51185.13614701589
139583.3270625013,370872,231288.6729374987
-10658.573114320592,1911,12569.573114320592
152830.54755203373,188250,35419.452447966265
60677.51896409776,105901,45223.48103590224
-16880.605683646674,-30,16850.605683646674
111418.21190071538,36200,-75218.21190071538
85853.33804135193,54249,-31604.338041351933
68121.50781290318,40050,-28071.507812903175
93408.97025872162,156326,62917.029741278384
125305.83982919077,578249,452943.16017080925
119082.94910232484,115878,-3204.949102324841
145920.86880922105,460331,314410.1311907789
115559.24618824826,99100,-16459.24618824826
18874.739143148086,71400,52525.26085685191
